Nr,Nafn,Breidd,Lengd,Haed,Dags,Vindatt,VindattAsc,VindattAscEng,Vindhradi,Vindhvida,Hiti,Veghiti,Umf10Min,UmfSum,Raki,Daggarmark,VindattStDev,Loftthrystingur,Sjavarhaed,PntX,PntY,IdButur1,IdButur2,Nr_Vedurstofa,Status
39,Ennisháls,65.572467,-21.329352,286,14.1.2024 12:50:00,45,NA ,NE ,8.32,11.96,-7.78,-2.528,0,0,81.1,-10.458,NA,NA,NA,392497.04,565804.638,907020027,NA,32390,DWTRHCS
79,Norðan Reynisfjalls,63.452033,-19.037917,121,14.1.2024 13:00:00,67,ANA,ENE,10.33,16.17,-2.727,-0.522,9,398,31.7,-17.287,8.74,NA,NA,498107.907,327425.974,901040027,NA,36049,DWTRHCS
60,Þjórsá,63.930983,-20.66615,62,14.1.2024 12:50:00,28,NNA,NNE,8.59,12.25,-7.64,-5.351,43,875,70.9,-12.009,NA,NA,NA,418273.688,381901.574,902040027,901130027,36308,DWTRHCS
78,Miklidalur,65.5807,-23.8552,370,14.1.2024 13:00:00,49,NA ,NE ,4.827,5.684,-9.66,-6.245,1,43,83.8,-11.887,5.025,NA,NA,276165.468,573341.535,905260027,NA,31122,DWTRHCS
70,Hámundarstaðaháls,65.95175,-18.459283,103,14.1.2024 13:00:00,16,NNA,NNE,4.896,7.94,-7.59,-5.873,9,242,77.2,-10.894,NA,NA,NA,524598.471,606220.829,909150027,NA,33563,DWTRHCS
57,Kvísker,63.959633,-16.424433,24,14.1.2024 13:00:00,9,N  ,N  ,11.1,14.21,-5.639,-5.661,15,195,42.18,-16.485,NA,NA,NA,626183.684,386589.407,912070027,NA,35315,DWTRHCS
66,Biskupsháls,65.55835,-16.0114,529,14.1.2024 13:00:00,318,NV ,NW ,6.588,9.21,-11.95,-9.55,3,44,92.9,-12.865,NA,NA,NA,637982.441,565512.057,910460027,NA,34326,DWTRHCS
71,Streiti,64.719967,-14.036117,31,14.1.2024 13:00:00,306,NV ,NW ,9.93,19.4,-6.425,-6.558,1,33,58.79,-13.174,NA,NA,NA,736362.049,478065.978,912010027,NA,35880,DWTRHCS
76,Gemlufallsheiði,65.940617,-23.4364,250,14.1.2024 13:00:00,40,NA ,NE ,3.03,3.985,-8.8,-2.499,1,21,59.54,-15.263,9.64,NA,NA,298253.85,611956.024,906070027,NA,32533,DWTRHCS
74,Við Markarfljót,63.621567,-20.028517,42,14.1.2024 13:00:00,37,NA ,NE ,4.04,5.292,-3.677,-4.696,23,596,59.99,-10.326,8.93,NA,NA,448985.397,346742.777,901240027,901220027,36122,DWTRHCS
63,Ingólfsfjall,63.956021,-21.049152,51,14.1.2024 13:00:00,29,NNA,NNE,14.84,20.38,-6.343,-6.014,137,2518,57.9,-13.285,8.23,NA,NA,399583.5,385243.5,902030027,802030027,31399,DWTRHCS
1,Hellisheiði,64.019033,-21.34235,384,14.1.2024 13:00:00,52,NA ,NE ,4.191,5.488,-8.86,-6.78,92,2393,78.28,-11.956,5.85,NA,NA,385482.028,392762.619,902020027,NA,31392,DWTRHCS
4,Öxnadalsheiði,65.46765,-18.698817,546,14.1.2024 13:00:00,62,ANA,ENE,1.698,2.156,-11.86,-9.72,14,218,87.9,-13.459,6.874,NA,NA,513958.819,552170.515,909010027,NA,33357,DWTRHCS
7,Fjarðarheiði,65.266117,-14.25885,612,14.1.2024 13:00:00,335,NNV,NNW,9.48,12.25,-12.21,-8.65,2,78,90.4,-13.459,NA,NA,NA,721214.567,537967.344,911170027,NA,34175,DWTRHCS
11,Oddsskarð,65.0637,-13.918633,533,14.1.2024 13:00:00,304,NV ,NW ,6.783,13.72,-10.59,NA,NA,NA,70.5,-14.92,NA,NA,NA,738867.431,516706.715,911410027,NA,34087,DWTH
12,Hafnarfjall,64.47555,-21.960267,41,14.1.2024 13:00:00,33,NNA,NNE,11.47,16.07,-6.567,-3.267,55,927,68.41,-11.424,8.55,NA,NA,357674.037,444866.915,804020027,NA,31674,DWTRHCS
13,Hálfdán,65.644367,-23.710683,525,14.1.2024 13:00:00,65,ANA,ENE,5.358,6.272,-10.52,-5.878,1,32,94.2,-11.272,3.532,NA,NA,283343.933,579916.483,905270027,NA,32322,DWTRHCS
19,Víkurskarð,65.814017,-17.99135,232,14.1.2024 13:00:00,339,NNV,NNW,2.209,4.116,-10.05,-9.32,1,33,73.68,-13.86,12.02,NA,NA,546129.511,591125.071,909050027,NA,33576,DWTRHCS
21,Sandfell í Öræfum,63.9387,-16.7959,84,14.1.2024 13:00:00,109,ASA,ESE,4.849,5.586,-3.296,-2.511,11,196,63.98,-9.146,3.937,NA,NA,608073.918,383569.042,912080027,NA,35305,DWTRHCS
22,Fróðárheiði,64.848167,-23.481317,380,14.1.2024 13:00:00,340,NNV,NNW,1.848,4.41,-7.599,-6.635,2,41,73.31,-11.552,27.02,NA,NA,287587.705,490605.175,904290027,NA,31931,DWTRHCS
53,Hvammur undir Eyjafjöllum,63.578367,-19.901683,17,14.1.2024 13:00:00,359,N  ,N  ,1.04,1.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,455207.198,341830.667,901210027,NA,36127,DWtRHcs
86,Kolás,64.695567,-21.6359,66,14.1.2024 13:00:00,84,A  ,E  ,3.969,7.546,-7.263,-6.025,24,327,57.71,-14.192,13.33,NA,NA,374281.989,468682.722,904050027,NA,31882,DWTRHCS
24,Vatnsskarð,65.509037,-19.695123,435,14.1.2024 13:00:00,24,NNA,NNE,3.587,5.194,-11.09,-9.31,5,149,79.7,-13.907,NA,NA,NA,467834.694,556928.555,908020027,NA,33431,DWTRHCS
25,Hólasandur,65.7374,-17.105733,370,14.1.2024 13:00:00,348,NNV,NNW,7.7,9.31,-10.4,-9.7,0,2,80.8,-13.064,40.08,NA,NA,586878.889,583515.666,910050027,NA,33495,DWTRHCS
26,Fagridalur,65.126567,-14.3344,369,14.1.2024 13:00:00,334,NNV,NNW,8.59,12.05,-10.05,-8.07,7,133,82.9,-12.404,NA,NA,NA,718843.158,522189.462,911210027,NA,34073,DWTRHCS
27,Kleifaheiði,65.517128,-23.721132,422,14.1.2024 13:00:00,164,SSA,SSE,0.561,1.176,-9.99,-0.513,2,17,88.4,-11.544,0.096,NA,NA,281805.778,565805.106,905200027,NA,32224,DWTRHCS
38,Blönduós,65.66675,-20.23825,82,14.1.2024 13:00:00,49,NA ,NE ,5.852,8.04,-6.902,-4.305,15,152,71.89,-11.124,5.827,NA,NA,443049.585,574894.089,908010027,NA,33419,DWTRHCS
40,Mývatnsöræfi,65.657583,-16.5005,401,14.1.2024 13:00:00,330,NNV,NNW,6.888,8.82,-10.75,-9.36,2,43,89.1,-12.196,4.073,NA,NA,614976.462,575587.52,910040027,NA,34413,DWTRHCS
102,Botn í Súgandafirði,66.080833,-23.3733,270,14.1.2024 13:00:00,168,SSA,SSE,1.835,4.116,-6.469,NA,NA,NA,67.22,-11.55,23.14,NA,NA,302199.567,627355.015,906100027,NA,32635,DWTH
104,Kaldakinn,65.742617,-17.592,120,14.1.2024 13:00:00,7,N  ,N  ,2.595,4.508,-8.39,NA,NA,NA,84.6,-10.521,7.564,NA,NA,564568.063,583514.679,910110027,NA,33480,DWTH
106,Gígjukvísl,63.936219,-17.350267,68,14.1.2024 13:00:00,356,N  ,N  ,18.29,25.68,-5.951,-5.061,4,169,36.5,-18.486,19.68,NA,NA,580906,382464,912090027,NA,36391,DWTRHCS
107,Hvaldalsá,64.420194,-14.537583,110,14.1.2024 13:00:00,307,NV ,NW ,14.64,22.15,-6.321,-5.42,NA,NA,48.59,-15.406,7.135,NA,NA,714882.957,442950.239,912030027,NA,NA,DWTRH
64,Gauksmýri,65.344417000000007,-20.803983,129,14.1.2024 12:50:00,69,ANA,ENE,3.091,5.194,-7.66,-6.996,13,180,83.2,-10.017,13.57,NA,NA,416010.542,539596.198,907160027,NA,33204,DWTRHCS
72,Akrafjall,64.310533,-21.957783,37,14.1.2024 13:00:00,38,NA ,NE ,10.41,13.62,-3.992,-3.403,39,789,42.87,-14.788,7.257,NA,NA,356932.948,426485.373,904020027,NA,31572,DWTRHCS
44,Hraunsmúli í Staðarsveit,64.822003,-23.19026,20,14.1.2024 13:00:00,93,A  ,E  ,4.651,7.55,-5.483,-5.462,2,63,77.3,-8.829,NA,1033.9,NA,301169.529,486748.598,904280027,NA,31840,DWTRPHCS
48,Klettsháls,65.65665,-22.61095,280,14.1.2024 13:00:00,47,NA ,NE ,9.15,11.47,-9.14,-5.04,0,12,75.2,-12.727,NA,NA,NA,333938.182,577954.169,905160027,NA,32355,DWTRHCS
50,Hvalnes,64.407367,-14.539117,25,14.1.2024 13:00:00,353,N  ,N  ,7.36,16.95,-5.691,-4.281,1,28,41.11,-16.839,NA,NA,NA,714910.07,441518.545,912030027,NA,35666,DWTRHCS
51,Laxárdalsheiði,65.20681,-21.327212,221,14.1.2024 13:00:00,38,NA ,NE ,6.42,8.72,-7.61,-0.642,0,7,83.1,-9.983,NA,NA,NA,391095.302,525060.958,905050027,NA,32190,DWTRHCS
87,Jökuldalur,65.30195,-15.223733,473,14.1.2024 13:00:00,271,V  ,W  ,5.995,10.19,-11.06,-10.17,2,39,81.5,-13.603,11.04,NA,NA,676016.553,538921.878,911010027,NA,34148,DWTRHCS
88,Hauksstaðir í Vesturárdal,65.657067,-15.165183,212,14.1.2024 13:00:00,317,NV ,NW ,7.655,11.56,-9.52,-8.97,0,15,78,-12.643,10.43,NA,NA,676342.009,578606.814,910430027,NA,34450,DWTRHCS
56,Svínadalur í Dalasýslu,65.305636,-21.740251,230,14.1.2024 13:00:00,349,N  ,N  ,4.966,8.82,-6.951,-5.513,5,60,74.54,-10.716,11.65,NA,NA,372255.281,536843.172,905080027,NA,32179,DWTRHCS
81,Búlandshöfði,64.936567,-23.50335,25,14.1.2024 13:00:00,7,N  ,N  ,5.795,12.25,-4.375,-4.064,7,87,76.7,-7.853,19.77,NA,NA,287246.536,500509.375,904300027,NA,31932,DWTRHCS
82,Lyngdalsheiði,64.201817,-20.8062,215,14.1.2024 13:00:00,97,A  ,E  ,2.757,4.704,-8.52,-6.927,0,NA,77.47,-11.755,13.69,NA,NA,412268.446,412271.403,902250027,NA,36504,DWTRHCS
83,Hamarsfjörður,64.655817,-14.452717,20,14.1.2024 13:00:00,242,VSV,WSW,19.8,26.56,-6.387,-4.681,2,31,60.6,-12.763,6.086,NA,NA,717074.84,469440.642,912020027,NA,35769,DWTRHCS
89,Kambaskriður,64.79815,-13.890117,NA,14.1.2024 13:00:00,202,SSV,SSW,4.088,12.25,-5.181,-6.05,0,32,56.89,-12.409,21.17,NA,NA,742595.361,487307.323,911400027,NA,35884,DWTRHCS
91,Héðinsfjörður,66.102233,-18.81295,30,14.1.2024 13:00:00,41,NA ,NE ,4.449,5.684,-7.137,-3.637,10,162,81.2,-9.814,6.976,NA,NA,508459.782,622909.493,909300027,909340027,33654,DWTRHCS
92,Herkonugil,66.178367,-18.9752,NA,14.1.2024 13:00:00,47,NA ,NE ,6.811,9.41,-7.225,NA,NA,NA,76.9,-10.588,9.66,NA,NA,501118.31,631387.754,908140027,NA,33751,DWTH
93,Bræðratunguvegur,64.1575,-20.36745,66,14.1.2024 13:00:00,42,NA ,NE ,9.03,13.03,-6.882,-6.356,7,95,63.52,-12.65,6.68,NA,NA,433468.89,406797.098,902270027,NA,36415,DWTRHCS
94,Blikdalsá,64.266395,-21.832878,NA,14.1.2024 13:00:00,43,NA ,NE ,8.19,11.17,-6.105,-6.255,115,2034,67.06,-11.232,9.16,NA,NA,362750,421293,903030027,NA,31577,DWTRHCS
52,Möðrudalsöræfi,65.457017,-15.58565,560,14.1.2024 13:00:00,317,NV ,NW ,2.984,4.508,-12.18,-10.72,0,40,88.5,-13.691,NA,NA,NA,658231.137,555225.78,911000027,NA,34238,DWTRHCS
84,Hófaskarð,66.298433,-15.893267,223,14.1.2024 13:00:00,319,NV ,NW ,8.46,11.37,-9.7,-7.454,0,10,92.7,-10.66,3.96,NA,NA,639378.166,648203.772,910170027,NA,34732,DWTRHCS
90,Ólafsfjarðarmúli,66.04235,-18.52075,73,14.1.2024 13:00:00,348,NNV,NNW,6.789,9.21,-7.013,-5.119,3,130,83.1,-9.398,13.95,NA,NA,521725.673,616301.224,909330027,NA,33661,DWTRHCS
5,Steingrímsfjarðarheiði,65.75105,-22.12995,440,14.1.2024 13:00:00,63,ANA,ENE,7.474,9.8,-9.81,-7.601,5,19,89.4,-11.225,6.973,NA,NA,356560.065,587287.615,907050027,NA,32474,DWTRHCS
31,Þrengsli,63.987633,-21.4629,268,14.1.2024 13:00:00,253,VSV,WSW,0.993,1.96,-7.928,-4.458,6,392,82.2,-10.432,21.38,NA,NA,379454.876,389488.652,902340027,NA,31387,DWTRHCS
80,Þröskuldar,65.552417,-21.833017,370,14.1.2024 13:00:00,18,NNA,NNE,9.68,12.25,-8.98,-6.31,0,28,90.9,-10.195,4.912,NA,NA,369166.199,564520.42,907000027,NA,32377,DWTRHCS
95,Mosfellsheiði,64.214033,-21.344767,270,14.1.2024 13:00:00,135,SA ,SE ,2.546,3.822,-8.74,-4.707,27,689,86.1,-10.644,14.08,NA,NA,386170.067,414491.204,903050027,904250027,31591,DWTRHCS
96,Grindavíkurvegur,63.868333,-22.423533,57,14.1.2024 13:00:00,7,N  ,N  ,9.37,13.23,-4.429,-4.558,10,211,71.95,-8.728,23.32,NA,NA,331756.857,378396.618,903210027,NA,31364,DWTRHCS
97,Hjallaháls,65.564,-22.246083,305,14.1.2024 13:00:00,51,NA ,NE ,9.14,11.56,-8.87,-0.434,0,0,84.2,-11.052,3.962,NA,NA,350172.026,566727.376,NA,NA,32365,DWTRHCS
98,Vopnafjarðarheiði,65.59465,-15.315783,440,14.1.2024 13:00:00,317,NV ,NW ,8.32,10.19,-11.32,-7.625,1,15,88,-12.912,4.047,NA,NA,669830.107,571247.377,910430027,NA,34348,DWTRHCS
99,Fljótsheiði,65.697017,-17.503233,238,14.1.2024 13:00:00,342,NNV,NNW,3.392,4.9,-9.22,-6.199,5,120,95.5,-9.807,7.979,NA,NA,568758.36,578525.107,910010027,NA,33487,DWTRHCS
42,Við Lómagnúp,63.957417,-17.55,47,14.1.2024 13:00:00,5,N  ,N  ,1.402,2.45,-5.481,-5.042,7,167,70.5,-10.001,NA,NA,NA,571058.35,384586.424,901010027,NA,36386,DWTRHCS
129,Papey,64.59115,-14.174683,49,14.1.2024 13:00:00,309,NV ,NW ,16.9,22.44,-6.185,NA,NA,NA,60.78,-12.535,8.08,1021.7,NA,730872.073,463236.449,NA,NA,5777,DWTPH
136,Skagatá,66.119217,-20.098867,9,14.1.2024 12:50:00,71,ANA,ENE,8.03,11.76,-5.619,NA,NA,NA,68.91,-10.423,8.42,1035,NA,450336.489,625222.617,908220027,NA,4151,DWTPH
112,Bjarnarey,65.785126,-14.309059,20,14.1.2024 12:30:00,328,NNV,NNW,19.31,24.3,-5.272,NA,NA,NA,87.6,-7.008,11.47,1027.2,NA,714586.2,595500.8,NA,NA,4472,DWTPH
132,Seley,64.977817,-13.51925,18,14.1.2024 13:00:00,307,NV ,NW ,7.988,11.17,-4.384,NA,NA,NA,62.85,-10.407,6.748,1026.3,NA,758425.55,508736.357,NA,NA,5993,DWTPH
139,Straumnesviti,66.430511,-23.134529,NA,14.1.2024 12:30:00,56,NA ,NE ,2.52,5.39,-5.781,NA,NA,NA,70,-10.38,27.02,1036.9,NA,315531.9,665544,NA,NA,NA,DWTPH
115,Flatey á Skjálfanda,66.16315,-17.840783,22,14.1.2024 13:00:00,8,N  ,N  ,7.715,10.88,-7.036,NA,NA,NA,75.67,-10.608,10.6,1034.8,NA,552300.906,630170.049,NA,NA,3779,DWTPH
117,Garðskagaviti,64.081717,-22.689317,4,14.1.2024 13:00:00,24,NNA,NNE,13.95,16.95,-3.669,NA,NA,NA,76.5,-7.202,8.83,1031.7,NA,320097.26,402879.973,345030027,NA,1453,DWTPH
111,Bjargtangar,65.5029,-24.531167,35,14.1.2024 13:00:00,72,ANA,ENE,0.088,0.49,-4.996,NA,NA,NA,62.23,-11.113,8.88,1032,NA,244318.727,567259.97,905530027,NA,2304,DWTPH
122,Hornbjargsviti,66.41065,-22.3789,22,14.1.2024 12:30:00,65,ANA,ENE,3.899,5.978,-5.714,NA,NA,NA,72.9,-9.801,14.71,1034.7,NA,349091.366,661328.259,NA,NA,2862,DWTPH
179,Ingólfshöfði,63.801715,-16.63715,57,14.1.2024 13:00:00,45,NA ,NE ,4.108,6.37,-4.108,NA,NA,NA,54.18,-12.011,12.97,1022.5,NA,616425.1,368588.8,NA,NA,5210,DWTPH
134,Skarðsfjöruviti,63.517867,-17.978517,6,14.1.2024 12:40:00,337,NNV,NNW,3.113,4.41,-4.435,NA,NA,NA,70.61,-8.975,6.098,1029.5,NA,550852.594,335176.559,NA,NA,6176,DWTPH
3,Holtavörðuheiði,64.990369,-21.058507,407,14.1.2024 13:00:00,21,NNA,NNE,6.31,8.04,-10.77,-8.01,14,179,96.6,-11.205,NA,NA,NA,402879.358,500507.739,904060027,NA,32097,DWTRHCS
101,Festarfjall,63.859483,-22.343583,135,14.1.2024 13:00:00,27,NNA,NNE,7.007,10.68,-4.789,-1.225,1,54,76.86,-8.228,6.219,NA,NA,335629.982,377201.04,903440027,NA,31365,DWTRHCS
17,Sandskeið,64.062432,-21.557643,181,14.1.2024 13:00:00,40,NA ,NE ,0.788,1.372,-8.08,-5.397,139,3180,85.5,-10.083,9.16,NA,NA,375157.5,398004.8,902010027,NA,31488,DWTRHCS
36,Kjalarnes,64.210665,-21.766621,38,14.1.2024 13:00:00,254,VSV,WSW,2.577,4.802,-4.594,-5.418,102,2057,62.66,-10.645,34.42,NA,NA,365686.2,414944,1404570027,903030027,31579,DWTRHCS
85,Stórholt,64.986,-22.808383,70,14.1.2024 13:00:00,70,ANA,ENE,4.951,7.35,-5.827,-3.232,5,119,79.97,-8.729,7.015,NA,NA,320367.544,503851.67,904320027,NA,31950,DWTRHCS
45,Mývatnsheiði,65.614283,-17.2169,350,14.1.2024 13:00:00,306,NV ,NW ,3.873,5.292,-10.7,-7.62,1,88,96,-11.214,NA,NA,NA,582168.871,569645.213,910020027,NA,33394,DWTRHCS
49,Vatnsskarð eystra,65.562317,-13.9896,440,14.1.2024 13:00:00,306,NV ,NW ,19.87,22.93,-10.03,-4.928,2,24,97.2,-10.39,NA,NA,NA,731137.093,571856.567,911160027,NA,34382,DWTRHCS
110,Græfur,65.168167,-14.33895,322,14.1.2024 13:00:00,336,NNV,NNW,7.531,10.29,-9.91,NA,NA,NA,75.32,-13.454,6.835,NA,NA,718288.484,526798.92,911210027,NA,NA,DWTH
113,Kauptún,64.07965,-21.902867,42,14.1.2024 13:00:00,100,A  ,E  ,0.839,1.47,-5.92,-5.563,NA,NA,79.24,-8.937,8.68,NA,NA,358405.857,400650.071,903110027,NA,31475,DWTRH
114,Víkurgerði,64.895612,-13.854695,40,14.1.2024 13:00:00,290,VNV,WNW,13.18,18.42,-6.568,-4.42,NA,NA,60.06,-13.045,7.109,NA,NA,743389.978,498272.898,911270027,NA,35985,DWTRH
116,Borgarhöfn,64.184833,-15.8145,20,14.1.2024 13:00:00,103,ASA,ESE,4.126,4.802,-4.338,-6.313,3,118,44.34,-14.693,5.577,NA,NA,654778.469,413025.137,912060027,NA,35116,DWTRHCS
109,Arnarnesvegur,64.088752,-21.836569,116.4,14.1.2024 13:00:00,109,ASA,ESE,1.696,2.94,-6.388,-4.875,NA,NA,79.49,-9.353,15.38,NA,NA,361683,401517,914630027,NA,31109,DWTRH
118,Reykjanesviti,63.815605,-22.704321,20,14.1.2024 13:00:00,26,NNA,NNE,7.889,10.29,-3.596,NA,NA,NA,74.28,-7.513,4.368,1024,NA,317629,373306,304430027,NA,31640,DWTH
119,Tíðaskarð,64.287033,-21.811983,65,14.1.2024 13:00:00,48,NA ,NE ,7.849,11.66,-6.312,-2.626,10,199,71.62,-10.602,11.99,NA,NA,363863.982,423546.332,903350027,NA,31578,DWTRHCS
120,Saurbæjarás,66.131683,-18.902283,56,14.1.2024 12:40:00,25,NNA,NNE,4.494,5.978,-7.486,-5.901,10,144,77.12,-10.806,6.21,NA,NA,504414.397,626184.681,909310027,NA,NA,DWTRHCS
299,Dynjandisheiði við sýslumörk,65.709533,-23.20685,502,14.1.2024 13:00:00,17,NNA,NNE,3.155,4.802,-10.8,NA,NA,NA,77.55,-13.96,17,NA,NA,306963.391,585532.007,905310027,NA,NA,DWTH
123,Dettifoss,65.81495,-16.443083,373,14.1.2024 13:00:00,347,NNV,NNW,7.33,9.21,-10.49,NA,NA,NA,94.9,-11.149,4.261,NA,NA,616906.673,593225.691,910280027,913310027,NA,DWTRH
124,Flatey á Breiðafirði,65.371944,-22.928889,13,14.1.2024 12:50:00,57,ANA,ENE,7.505,10.68,-5.788,NA,NA,NA,67.82,-10.786,10.75,NA,NA,317363.196,547144.02,940200027,940210027,NA,DWTH
2159,Stórhöfði,63.399567,-20.28825,118,14.1.2024 12:50:00,4,N  ,N  ,10.05,12.84,-3.01,NA,NA,NA,58,-10.124,NA,NA,NA,435599.808,322231.561,NA,NA,6017,DWTH
2141,Dalatangi,65.26815,-13.574967,10,14.1.2024 12:40:00,338,NNV,NNW,10.91,16.56,-6.02,NA,NA,NA,82,-8.596,NA,1030.4,NA,753030.639,540758.529,NA,NA,4193,DWTPH
2147,Rauðinúpur,66.5082,-16.544383,59.3,14.1.2024 12:50:00,9,N  ,N  ,12.45,17.18,-6.91,NA,NA,NA,82,-9.467,NA,1035.4,NA,609274.993,670297.792,NA,NA,4912,DWTPH
2146,Fontur,66.37835,-14.532583,43,14.1.2024 12:40:00,0,N  ,N  ,7.9,12.6,-5.8,NA,NA,NA,87,-7.617,NA,1031.9,NA,699707.336,660751.066,NA,NA,4867,DWTPH
2180,Straumsvík,64.0438,-22.04045,7,14.1.2024 12:50:00,184,S  ,S  ,1.66,2.65,-4.18,NA,NA,NA,80,-7.117,NA,1033.8,NA,351507.817,396973.462,903140027,NA,1473,DWTPH
2183,Eyrarbakki,63.8692,-21.1602,NA,14.1.2024 12:40:00,31,NNA,NNE,8.47,11.5,-6.57,NA,NA,NA,69,-11.32,NA,1033.9,NA,393813.073,375750.947,902150027,NA,1395,DWTPH
2184,Hólmsheiði,64.1085,-21.686367,130,14.1.2024 12:40:00,129,SA ,SE ,1.46,3.46,-6.53,NA,NA,NA,75,-10.23,NA,NA,NA,369096.172,403396.608,903060027,NA,1481,DWTH
2185,Geldinganes,64.167783,-21.8038,35,14.1.2024 12:50:00,186,S  ,S  ,1.31,1.67,-5.19,NA,NA,NA,75,-8.932,NA,NA,NA,363670.472,410247.645,NA,NA,1480,DWTH
2186,Garðabær - Urriðaholt,64.071167,-21.910667,37,14.1.2024 12:40:00,52,NA ,NE ,1.9,2.6,-6,NA,NA,NA,75,-9.717,NA,1033.8,NA,357982.133,399722.816,NA,NA,1474,DWTPH
2172,Hella,63.825683,-20.365383,20,14.1.2024 12:40:00,32,NNA,NNE,11.9,14.5,-6.7,NA,28,773,63,-12.579,NA,NA,NA,432770.509,369810.98,901230027,901290027,6315,DWTHCS
2,Þverfjall,66.044433,-23.30745,753,14.1.2024 12:50:00,74,ANA,ENE,8.66,10.72,-12.51,NA,NA,NA,97,-12.888,NA,1038.2,NA,304896.884,623100.685,NA,NA,2636,DWTPH
2173,Höfn í Hornafirði,64.2557,-15.209,3.9,14.1.2024 12:40:00,334,NNV,NNW,15.89,21.09,-6,NA,NA,NA,59,-12.729,NA,1030.5,NA,683692.832,422534.496,912050027,NA,5544,DWTPH
2101,Reykjavík,64.12755,-21.902,52,14.1.2024 12:40:00,88,A  ,E  ,1.29,1.89,-5.38,NA,NA,NA,67,-10.549,NA,1034,NA,358693.151,405982.54,914500027,914170027,1475,DWTPH
2102,Korpa,64.150533,-21.751067,35,14.1.2024 12:50:00,140,SA ,SE ,2.39,3.3,-6.5,NA,NA,NA,71,-10.893,NA,NA,NA,366149.236,408213.745,903020027,NA,1479,DWTH
192,Krepputunga,65.06065,-16.2104,563,14.1.2024 12:50:00,347,NNV,NNW,5.24,7.68,-11.81,NA,NA,NA,84,-13.967,NA,NA,NA,631248.629,509657.772,913720027,NA,4019,DWTH
2187,Reykjavík - Víðidalur,64.103467,-21.797083,71,14.1.2024 12:50:00,125,SA ,SE ,0.92,2.03,-5.73,NA,NA,NA,79,-8.791,NA,1033.9,NA,363679.697,403070.01,NA,NA,1482,DWTPH
2188,Seltjarnarnes,64.1545,-22.032517,4.5,14.1.2024 12:40:00,21,NNA,NNE,10.3,12.2,-3.6,NA,NA,NA,76,-7.22,NA,1033.4,NA,352486.752,409281.831,NA,NA,1471,DWTPH
2189,Geirsnef,64.12925,-21.839183,4,14.1.2024 12:50:00,140,SA ,SE ,0.93,1.47,-4.82,NA,NA,NA,73,-8.92,NA,NA,NA,361758.307,406032.976,NA,NA,1478,DWTH
2190,Selfoss,63.935467,-20.970667,4,14.1.2024 12:50:00,46,NA ,NE ,4.9,7.87,-7.25,NA,NA,NA,79,-10.272,NA,NA,NA,403356.886,382830.801,902040027,NA,6300,DWTH
2181,Þyrill,64.387733,-21.416883,53,14.1.2024 12:40:00,12,NNA,NNE,11.9,18.5,-6.4,NA,NA,NA,62,-12.492,NA,1034.4,NA,383410.887,433973.117,904210027,NA,1685,DWTPH
2110,Gufuskálar,64.9,-23.933333,7,14.1.2024 12:40:00,66,ANA,ENE,9.53,13.56,-3.94,NA,NA,NA,78,-7.213,NA,1037,NA,266654.322,497961.298,904360027,NA,1919,DWTPH
2111,Ólafsvík,64.895698,-23.716204,15,14.1.2024 12:50:00,81,A  ,E  ,3.03,5.91,-4.01,NA,NA,NA,74,-7.962,NA,NA,NA,276869.27,496699.21,904300027,NA,1924,DWTH
2113,Grundarfjörður,64.9213,-23.251267,10,14.1.2024 12:40:00,39,NA ,NE ,1.4,3.2,-4.4,NA,NA,NA,71,-8.871,NA,1038.8,NA,299022.944,497986.597,904310027,NA,1938,DWTPH
2114,Stykkishólmur,65.0717,-22.732367,12,14.1.2024 12:40:00,53,NA ,NE ,3.03,4.47,-4.98,NA,NA,NA,73,-9.075,NA,1037.6,NA,324512.614,513175.311,904320027,NA,2050,DWTPH
2120,Hveravellir,64.86675,-19.562217,641,14.1.2024 12:40:00,13,NNA,NNE,3.48,4.41,-13.21,NA,NA,NA,85,-15.198,NA,1037.1,NA,473347.639,485263.517,NA,NA,6935,DWTPH
2123,Súðavík,66.0426,-22.98605,10.9,14.1.2024 12:50:00,68,ANA,ENE,3.88,5.95,-5.44,NA,NA,NA,73,-9.519,NA,NA,NA,319421.526,621941.679,906140027,NA,2646,DWTH
2124,Gjögur,65.995083,-21.330367,31,14.1.2024 12:50:00,34,NA ,NE ,6.61,9.11,-5.03,NA,NA,NA,73,-9.123,NA,1038.4,NA,394186.955,612898.398,907140027,NA,2692,DWTPH
2135,Húsavík,66.041817,-17.328083,28.2,14.1.2024 12:50:00,342,NNV,NNW,3.96,7.02,-7.04,NA,NA,NA,79,-10.068,NA,1037.6,NA,575785.877,617161.618,910120027,NA,3696,DWTPH
2138,Grímsey,66.543783,-18.016733,19,14.1.2024 12:00:00,8,N  ,N  ,7.35,11.14,-7.38,NA,NA,NA,68.2,-12.243,11.7,1035.62,NA,543702.895,672484.221,940300027,NA,3975,DWTPH
2151,Kambanes,64.801233,-13.8423,29.8,14.1.2024 12:40:00,288,VNV,WNW,8.1,13.2,-6,NA,NA,NA,58,-12.94,NA,1030.8,NA,744832.462,487834.265,911400027,NA,5885,DWTPH
